x,y,z,label_semantikarto,number_of_returns,gps_time,edge_of_flight_line,synthetic,scanner_channel,return_number,scan_direction_flag,probability,withheld,intensity,classification,pc_ID,point_source_id,scan_angle,overlap,user_data,key_point,cluster_label
4.118305150258759,-0.11987339958988583,2.052993599049237,1,0,53815.434834738924,0,0,0,0,0,0.6334185600280762,0,38404,9,1.0,0,0,0,0,0,0
4.118305150258759,-0.11987339958988583,2.052993599049237,1,0,53815.434834738924,0,0,0,0,0,0.6334185600280762,0,38404,9,1.0,0,0,0,0,0,0
4.117305749576897,-0.1288734002900664,2.040993500792013,1,0,53815.434834738924,0,0,0,0,0,0.6185073256492615,0,49160,9,1.0,0,0,0,0,0,0
4.11330795000097,-0.1378734002957131,2.033993601261868,1,0,53815.434834738924,0,0,0,0,0,0.6185073256492615,0,53220,9,1.0,0,0,0,0,0,0
4.1123084501968235,-0.1438734002994776,2.0249936987066905,1,0,53815.434834738924,0,0,0,0,0,0.6185073256492615,0,53443,9,1.0,0,0,0,0,0,0
4.111309049514963,-0.153873400537263,2.0169938013052575,1,0,53815.434834738924,0,0,0,0,0,0.9567703008651733,0,53214,9,1.0,0,0,0,0,0,0
4.107303650098408,-0.15987339984649365,2.0099938999544986,1,0,53815.434834738924,0,0,0,0,0,0.9567703008651733,0,52999,9,1.0,0,0,0,0,0,0
4.107303650098408,-0.16787340031453551,1.9999935989928956,1,0,53815.434834738924,0,0,0,0,0,0.9567703008651733,0,52371,9,1.0,0,0,0,0,0,0
4.106304149828898,-0.17787339985778708,1.9929936994627506,1,0,53815.434834738924,0,0,0,0,0,0.9567703008651733,0,51937,9,1.0,0,0,0,0,0,0
4.107303650098408,-0.1888734003277112,1.9819940014325659,1,0,53815.434834738924,0,0,0,0,0,0.9597604870796204,0,51866,9,1.0,0,0,0,0,0,0
4.109310149959681,-0.20087339964070633,1.9719938006047473,1,0,53815.434834738924,0,0,0,0,0,0.9597604870796204,0,51667,9,1.0,0,0,0,0,0,0
4.109310149959681,-0.20087339964070633,1.9719938006047473,1,0,53815.434834738924,0,0,0,0,0,0.9597604870796204,0,51667,9,1.0,0,0,0,0,0,0
4.11330795000097,-0.21787340011439493,1.963993899562086,1,0,53815.434834738924,0,0,0,0,0,0.9597604870796204,0,51013,9,1.0,0,0,0,0,0,0
4.186305949804484,-0.33087339995378134,1.9219936011771575,1,0,53815.434834738924,0,0,0,0,0,0.9170687198638916,0,41441,5,1.0,0,0,0,0,0,0
4.182308150228557,-0.33887340042182323,1.9109938995057445,1,0,53815.434834738924,0,0,0,0,0,0.9170687198638916,0,40845,5,1.0,0,0,0,0,0,0
4.177303249611767,-0.34287339996131033,1.903993899841815,1,0,53815.434834738924,0,0,0,0,0,0.9170687198638916,0,40140,5,1.0,0,0,0,0,0,0
4.1713065504805575,-0.34787340042746995,1.89699400031167,1,0,53815.434834738924,0,0,0,0,0,0.9170687198638916,0,38770,5,1.0,0,0,0,0,0,0
4.165309850418623,-0.34787340042746995,1.8909939002058587,1,0,53815.434834738924,0,0,0,0,0,0.9170687198638916,0,37427,5,1.0,0,0,0,0,0,0
4.1583061498342,-0.35287340019909574,1.88099369937804,1,0,53815.434834738924,0,0,0,0,0,0.9170687198638916,0,36454,5,1.0,0,0,0,0,0,0
4.149303449641483,-0.35387340043123444,1.8739936997141111,1,0,53815.434834738924,0,0,0,0,0,0.7282560467720032,0,35521,5,1.0,0,0,0,0,0,0
4.144306149796046,-0.35587339950644414,1.867993701562698,1,0,53815.434834738924,0,0,0,0,0,0.7282560467720032,0,34214,5,1.0,0,0,0,0,0,0
4.138309449734111,-0.35987339974046506,1.8609937000781547,1,0,53815.434834738924,0,0,0,0,0,0.7282560467720032,0,33222,5,1.0,0,0,0,0,0,0
4.133304550048047,-0.36487339951209086,1.8509939999192575,1,0,53815.434834738924,0,0,0,0,0,0.7282560467720032,0,32519,5,1.0,0,0,0,0,0,0
